CO2,seconds
402,1705.77
406,1706.76
402,1707.75
402,1708.74
410,1709.73
406,1710.72
406,1711.71
406,1712.7
402,1713.69
406,1714.68
402,1715.67
406,1716.66
406,1717.65
406,1718.64
410,1719.63
406,1720.62
410,1721.61
410,1722.6
406,1723.59
414,1724.58
406,1725.57
402,1726.56
410,1727.55
410,1728.54
406,1729.53
410,1730.52
410,1731.51
406,1732.5
406,1733.49
414,1734.48
414,1735.47
406,1736.46
410,1737.45
410,1738.44
406,1739.43
410,1740.42
406,1741.41
406,1742.4
410,1743.39
410,1744.38
410,1745.37
402,1746.36
406,1747.35
406,1748.34
410,1749.33
410,1750.32
410,1751.31
410,1752.3
414,1753.29
414,1754.28
414,1755.27
410,1756.26
410,1757.25
414,1758.24
414,1759.23
414,1760.22
414,1761.21
414,1762.2
416,1763.19
414,1764.18
416,1765.17
410,1766.16
410,1767.15
410,1768.14
414,1769.13
410,1770.12
410,1771.11
402,1772.1
402,1773.09
406,1774.08
410,1775.07
402,1776.06
406,1777.05
402,1778.04
402,1779.03
406,1780.02
406,1781.01
410,1782
402,1782.99
406,1783.98
410,1784.97
400,1785.96
400,1786.95
400,1787.94
400,1788.93
402,1789.92
400,1790.91
400,1791.9
402,1792.89
402,1793.88
400,1794.87
400,1795.86
400,1796.85
402,1797.84
400,1798.83
402,1799.82
400,1800.81
402,1801.8
406,1802.79
406,1803.78
410,1804.77
402,1805.76
402,1806.75
402,1807.74
406,1808.73
410,1809.72
410,1810.71
410,1811.7
410,1812.69
406,1813.68
410,1814.67
410,1815.66
406,1816.65
406,1817.64
406,1818.63
410,1819.62
410,1820.61
410,1821.6
416,1822.59
410,1823.58
414,1824.57
410,1825.56
414,1826.55
414,1827.54
410,1828.53
414,1829.52
410,1830.51
410,1831.5
414,1832.49
414,1833.48
414,1834.47
414,1835.46
416,1836.45
414,1837.44
418,1838.43
414,1839.42
416,1840.41
416,1841.4
416,1842.39
418,1843.38
416,1844.37
416,1845.36
418,1846.35
416,1847.34
416,1848.33
414,1849.32
416,1850.31
414,1851.3
414,1852.29
416,1853.28
418,1854.27
418,1855.26
418,1856.25
418,1857.24
416,1858.23
418,1859.22
416,1860.21
416,1861.2
416,1862.19
418,1863.18
416,1864.17
418,1865.16
416,1866.15
418,1867.14
416,1868.13
416,1869.12
414,1870.11
416,1871.1
414,1872.09
410,1873.08
406,1874.07
402,1875.06
402,1876.05
400,1877.04
400,1878.03
400,1879.02
402,1880.01
402,1881
406,1881.99
402,1882.98
402,1883.97
410,1884.96
402,1885.95
406,1886.94
406,1887.93
406,1888.92
400,1889.91
402,1890.9
402,1891.89
400,1892.88
402,1893.87
400,1894.86
400,1895.85
402,1896.84
400,1897.83
400,1898.82
400,1899.81
400,1900.8
400,1901.79
400,1902.78
400,1903.77
402,1904.76
407,1905.75
410,1906.74
407,1907.73
407,1908.72
414,1909.71
410,1910.7
407,1911.69
410,1912.68
410,1913.67
402,1914.66
407,1915.65
402,1916.64
402,1917.63
402,1918.62
402,1919.61
407,1920.6
407,1921.59
402,1922.58
407,1923.57
410,1924.56
407,1925.55
410,1926.54
407,1927.53
407,1928.52
414,1929.51
414,1930.5
410,1931.49
407,1932.48
414,1933.47
414,1934.46
410,1935.45
410,1936.44
407,1937.43
410,1938.42
407,1939.41
410,1940.4
407,1941.39
414,1942.38
416,1943.37
410,1944.36
414,1945.35
410,1946.34
410,1947.33
414,1948.32
416,1949.31
416,1950.3
416,1951.29
414,1952.28
416,1953.27
416,1954.26
416,1955.25
420,1956.24
414,1957.23
420,1958.22
416,1959.21
420,1960.2
420,1961.19
420,1962.18
420,1963.17
420,1964.16
416,1965.15
424,1966.14
420,1967.13
420,1968.12
420,1969.11
424,1970.1
427,1971.09
424,1972.08
424,1973.07
424,1974.06
424,1975.05
420,1976.04
420,1977.03
424,1978.02
424,1979.01
420,1980
424,1980.99
424,1981.98
427,1982.97
432,1983.96
432,1984.95
432,1985.94
432,1986.93
432,1987.92
432,1988.91
427,1989.9
432,1990.89
434,1991.88
432,1992.87
427,1993.86
427,1994.85
427,1995.84
432,1996.83
434,1997.82
432,1998.81
432,1999.8
427,2000.79
427,2001.78
434,2002.77
436,2003.76
432,2004.75
434,2005.74
434,2006.73
432,2007.72
432,2008.71
434,2009.7
432,2010.69
432,2011.68
432,2012.67
432,2013.66
432,2014.65
427,2015.64
427,2016.63
427,2017.62
432,2018.61
434,2019.6
432,2020.59
427,2021.58
432,2022.57
434,2023.56
434,2024.55
434,2025.54
434,2026.53
434,2027.52
432,2028.51
432,2029.5
434,2030.49
434,2031.48
436,2032.47
